engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,ethanol_tank_mass_time,ethanol_tank_mass,ethanol_tank_pressure_time,ethanol_tank_pressure,ethanol_tank_temperature_time,ethanol_tank_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_injector_temperature_time,N2O_injector_temperature,N2O_tank_mass_time,N2O_tank_mass,N2O_tank_pressure_time,N2O_tank_pressure,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,nitrogen_tank_pressure_time,nitrogen_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4
13:59:20.75,16.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00,00:00:00.00,0.00
13:59:20.81,16.50,13:59:20.76,22.00,13:59:20.76,30.00,13:59:20.76,10.00,13:59:20.76,53.00,13:59:20.78,18.00,13:59:20.78,25.00,13:59:20.78,-3.00,13:59:20.78,10.00,13:59:20.78,53.00,13:59:20.79,20.00,13:59:20.79,-22.00,13:59:20.79,53.00,13:59:20.79,800.00,13:59:20.79,900.00,13:59:20.81,772.10,13:59:20.81,300.00
13:59:20.81,16.50,13:59:20.76,22.00,13:59:20.76,30.00,13:59:20.78,10.00,13:59:20.78,60.00,13:59:20.78,18.00,13:59:20.78,25.00,13:59:20.78,-3.00,13:59:20.78,10.00,13:59:20.78,53.00,13:59:20.79,20.00,13:59:20.79,-22.00,13:59:20.79,53.00,13:59:20.79,800.00,13:59:20.79,900.00,13:59:20.81,772.10,13:59:20.81,300.00
13:59:20.82,17.00,13:59:20.82,21.00,13:59:20.76,30.00,13:59:20.82,10.00,13:59:20.82,58.00,13:59:20.82,18.00,13:59:20.78,25.00,13:59:20.78,-3.00,13:59:20.82,10.00,13:59:20.82,59.00,13:59:20.82,20.00,13:59:20.79,-22.00,13:59:20.82,59.00,13:59:20.82,837.98,13:59:20.82,883.41,13:59:20.82,744.84,13:59:20.82,300.00
13:59:20.82,17.00,13:59:20.82,21.00,13:59:20.76,30.00,13:59:20.82,10.00,13:59:20.82,58.00,13:59:20.82,18.00,13:59:20.78,25.00,13:59:20.78,-3.00,13:59:20.82,10.00,13:59:20.82,59.00,13:59:20.82,20.00,13:59:20.79,-22.00,13:59:20.82,59.00,13:59:20.82,837.98,13:59:20.82,883.41,13:59:20.82,744.84,13:59:20.82,300.00
13:59:20.84,16.00,13:59:20.84,23.00,13:59:20.76,30.00,13:59:20.84,10.00,13:59:20.84,56.00,13:59:20.82,18.00,13:59:20.84,30.00,13:59:20.84,-4.00,13:59:20.84,10.00,13:59:20.84,59.40,13:59:20.82,20.00,13:59:20.84,-21.00,13:59:20.84,58.00,13:59:20.84,855.69,13:59:20.84,863.26,13:59:20.84,722.55,13:59:20.84,300.02
13:59:20.84,16.00,13:59:20.84,23.00,13:59:20.76,30.00,13:59:20.84,10.00,13:59:20.84,56.00,13:59:20.82,18.00,13:59:20.84,30.00,13:59:20.84,-4.00,13:59:20.84,10.00,13:59:20.84,59.40,13:59:20.82,20.00,13:59:20.84,-21.00,13:59:20.84,58.00,13:59:20.84,855.69,13:59:20.84,863.26,13:59:20.84,722.55,13:59:20.84,300.02
13:59:20.84,16.00,13:59:20.84,23.00,13:59:20.76,30.00,13:59:20.84,10.00,13:59:20.84,56.00,13:59:20.82,18.00,13:59:20.84,30.00,13:59:20.84,-4.00,13:59:20.84,10.00,13:59:20.84,59.40,13:59:20.82,20.00,13:59:20.84,-21.00,13:59:20.84,58.00,13:59:20.84,855.69,13:59:20.84,863.26,13:59:20.84,722.55,13:59:20.84,300.02
13:59:20.85,17.00,13:59:20.85,22.00,13:59:20.85,29.00,13:59:20.85,10.00,13:59:20.85,58.00,13:59:20.85,20.00,13:59:20.85,25.00,13:59:20.85,-3.00,13:59:20.85,10.00,13:59:20.85,57.00,13:59:20.85,5.00,13:59:20.85,-23.00,13:59:20.85,56.00,13:59:20.85,870.26,13:59:20.85,839.14,13:59:20.85,707.98,13:59:20.85,300.04
13:59:20.89,17.00,13:59:20.85,22.00,13:59:20.89,30.00,13:59:20.89,10.00,13:59:20.89,59.00,13:59:20.89,18.00,13:59:20.89,25.00,13:59:20.85,-3.00,13:59:20.87,10.00,13:59:20.87,58.00,13:59:20.87,20.00,13:59:20.87,-22.00,13:59:20.87,55.00,13:59:20.87,883.06,13:59:20.87,810.04,13:59:20.87,700.50,13:59:20.87,300.07
