engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,N2O_injector_temperature_time,N2O_injector_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_tank_pressure_time,N2O_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4,thrust5_time,thrust5,thrust6_time,thrust6
15:29:12.941,2,15:29:12.969,1,15:29:12.969,4,15:29:12.985,0,15:29:12.985,0,15:29:12.985,3,15:29:12.985,0,15:29:12.985,5,15:29:12.985,0,15:29:13.001,0,15:29:13.001,0,15:29:13.001,0,15:29:13.001,1,15:29:13.001,0
15:29:13.938,55,15:29:13.938,93,15:29:13.938,82,15:29:13.938,59,15:29:13.938,97,15:29:13.938,9,15:29:13.938,82,15:29:13.938,50,15:29:13.938,76,15:29:13.938,62,15:29:13.938,62,15:29:13.938,53,15:29:13.938,21,15:29:13.938,94
15:29:14.931,89,15:29:14.931,28,15:29:14.931,97,15:29:14.931,75,15:29:14.931,95,15:29:14.931,28,15:29:14.931,34,15:29:14.931,100,15:29:14.931,28,15:29:14.931,45,15:29:14.931,45,15:29:14.931,51,15:29:14.931,39,15:29:14.931,68
15:29:15.927,82,15:29:15.927,58,15:29:15.927,47,15:29:15.927,87,15:29:15.927,24,15:29:15.927,69,15:29:15.927,68,15:29:15.927,45,15:29:15.927,53,15:29:15.927,72,15:29:15.927,72,15:29:15.927,34,15:29:15.927,68,15:29:15.927,14
15:29:16.939,83,15:29:16.939,59,15:29:16.939,88,15:29:16.939,45,15:29:16.939,1,15:29:16.939,16,15:29:16.939,35,15:29:16.939,96,15:29:16.939,93,15:29:16.939,23,15:29:16.939,23,15:29:16.939,54,15:29:16.939,55,15:29:16.939,81
15:29:17.937,35,15:29:17.937,10,15:29:17.937,49,15:29:17.937,58,15:29:17.937,26,15:29:17.937,38,15:29:17.937,5,15:29:17.937,16,15:29:17.937,13,15:29:17.937,3,15:29:17.937,3,15:29:17.937,2,15:29:17.937,47,15:29:17.937,6
15:29:18.938,67,15:29:18.938,73,15:29:18.938,54,15:29:18.938,72,15:29:18.938,1,15:29:18.938,53,15:29:18.938,65,15:29:18.938,29,15:29:18.938,12,15:29:18.938,49,15:29:18.938,49,15:29:18.938,4,15:29:18.938,69,15:29:18.938,84
15:29:19.936,25,15:29:19.936,8,15:29:19.936,83,15:29:19.936,46,15:29:19.936,4,15:29:19.936,92,15:29:19.936,85,15:29:19.936,64,15:29:19.936,56,15:29:19.936,1,15:29:19.936,1,15:29:19.936,85,15:29:19.936,81,15:29:19.936,65
15:29:20.932,23,15:29:20.932,90,15:29:20.932,6,15:29:20.932,86,15:29:20.932,0,15:29:20.932,31,15:29:20.932,92,15:29:20.932,69,15:29:20.932,21,15:29:20.932,3,15:29:20.932,3,15:29:20.932,62,15:29:20.932,90,15:29:20.932,54
15:29:21.928,89,15:29:21.928,36,15:29:21.928,29,15:29:21.928,89,15:29:21.928,38,15:29:21.928,4,15:29:21.928,20,15:29:21.928,55,15:29:21.928,55,15:29:21.928,84,15:29:21.928,84,15:29:21.928,88,15:29:21.928,15,15:29:21.928,26
