<<<<<<< HEAD
engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,N2O_injector_temperature_time,N2O_injector_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_tank_pressure_time,N2O_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4,thrust5_time,thrust5,thrust6_time,thrust6
15:04:51.897,2,15:04:51.897,1,15:04:51.897,4,15:04:51.897,4,15:04:51.897,0,15:04:51.913,3,15:04:51.897,0,15:04:51.913,7,5,15:04:51.913,0,15:04:51.913,0,15:04:51.913,0,15:04:51.913,15:04:51.929,0,15:04:51.913,1
15:04:51.897,2,15:04:51.897,1,15:04:51.897,4,15:04:51.897,4,15:04:51.897,0,15:04:51.913,3,15:04:51.897,0,15:04:51.913,7,5,15:04:51.913,0,15:04:51.913,0,15:04:51.913,0,15:04:51.913,15:04:51.929,0,15:04:51.913,1
15:04:52.891,64,15:04:52.891,5,15:04:52.891,36,15:04:52.891,36,15:04:52.891,22,15:04:52.891,12,15:04:52.891,93,15:04:52.891,41,43,15:04:52.891,65,15:04:52.891,5,15:04:52.891,5,15:04:52.891,15:04:52.891,11,15:04:51.913,1
15:04:53.884,69,15:04:53.884,4,15:04:53.884,91,15:04:53.884,91,15:04:53.884,90,15:04:53.884,35,15:04:53.884,75,15:04:53.884,2,27,15:04:53.884,59,15:04:53.884,21,15:04:53.884,21,15:04:53.884,15:04:53.884,46,15:04:53.884,97
15:04:54.894,18,15:04:54.894,35,15:04:54.894,71,15:04:54.894,71,15:04:54.894,95,15:04:54.894,15,15:04:54.894,80,15:04:54.894,77,98,15:04:54.894,72,15:04:54.894,27,15:04:54.894,27,15:04:54.894,15:04:54.894,47,15:04:54.894,62
15:04:55.894,97,15:04:55.894,8,15:04:55.894,35,15:04:55.894,35,15:04:55.894,9,15:04:55.894,33,15:04:55.894,74,15:04:55.894,78,33,15:04:55.894,30,15:04:55.894,44,15:04:55.894,44,15:04:55.894,15:04:55.894,31,15:04:55.894,3
15:04:56.889,39,15:04:56.889,29,15:04:56.889,79,15:04:56.889,79,15:04:56.889,13,15:04:56.889,78,15:04:56.889,80,15:04:56.889,92,6,15:04:56.889,86,15:04:56.889,1,15:04:56.889,1,15:04:56.889,15:04:56.889,65,15:04:56.889,28
15:04:58.884,77,15:04:58.884,30,15:04:58.884,87,15:04:58.884,87,15:04:58.884,2,15:04:58.884,35,15:04:58.884,25,15:04:58.884,9,66,15:04:57.888,26,15:04:57.888,91,15:04:57.888,91,15:04:57.888,15:04:57.888,31,15:04:57.888,91
15:04:59.884,76,15:04:59.884,29,15:04:59.884,48,15:04:59.884,48,15:04:59.884,89,15:04:59.884,42,15:04:59.884,86,15:04:59.884,21,93,15:04:59.884,92,15:04:59.884,72,15:04:59.884,72,15:04:59.884,15:04:59.884,93,15:04:59.884,45
15:05:00.882,82,15:05:00.882,78,15:05:00.882,94,15:05:00.882,94,15:04:59.884,89,15:05:00.882,29,15:05:00.882,3,15:05:00.882,14,45,15:05:00.882,51,15:05:00.882,52,15:05:00.882,52,15:05:00.882,15:05:00.882,72,15:05:00.882,32
15:05:00.882,82,15:05:01.896,14,15:05:01.896,87,15:05:01.896,87,15:05:01.896,41,15:05:01.896,59,15:05:01.896,72,15:05:01.896,42,16,15:05:01.896,0,15:05:01.896,5,15:05:01.896,5,15:05:01.896,15:05:01.896,40,15:05:01.896,2
15:05:02.894,4,15:05:02.894,5,15:05:02.894,58,15:05:02.894,58,15:05:02.894,89,15:05:02.894,38,15:05:02.894,63,15:05:02.894,26,48,15:05:02.894,61,15:05:02.894,50,15:05:02.894,50,15:05:02.894,15:05:02.894,58,15:05:02.894,95
15:05:03.892,44,15:05:03.892,85,15:05:03.892,32,15:05:03.892,32,15:05:03.892,60,15:05:03.892,81,15:05:03.892,23,15:05:03.892,10,63,15:05:03.892,96,15:05:03.892,39,15:05:03.892,39,15:05:03.892,15:05:03.892,47,15:05:03.892,64
15:05:04.891,62,15:05:04.891,16,15:05:04.891,41,15:05:04.891,41,15:05:04.891,81,15:05:04.891,41,15:05:04.891,22,15:05:04.891,45,43,15:05:04.891,41,15:05:04.891,79,15:05:04.891,79,15:05:04.891,15:05:04.891,44,15:05:04.891,84
15:05:05.891,30,15:05:05.891,92,15:05:05.891,42,15:05:05.891,42,15:05:05.891,25,15:05:05.891,20,15:05:05.891,80,15:05:05.891,40,55,15:05:05.891,90,15:05:05.891,86,15:05:05.891,86,15:05:05.891,15:05:05.891,67,15:05:05.891,42
15:05:06.889,23,15:05:06.889,74,15:05:06.889,98,15:05:06.889,98,15:05:06.889,70,15:05:06.889,7,15:05:06.889,87,15:05:06.889,26,63,15:05:06.889,63,15:05:06.889,23,15:05:06.889,23,15:05:06.889,15:05:06.889,60,15:05:06.889,31
15:05:07.887,64,15:05:07.887,23,15:05:07.887,15,15:05:07.887,15,15:05:07.887,11,15:05:07.887,88,15:05:07.887,77,15:05:07.887,50,42,15:05:07.887,25,15:05:07.887,47,15:05:07.887,47,15:05:07.887,15:05:07.887,45,15:05:07.887,93
15:05:08.889,71,15:05:08.889,36,15:05:08.889,73,15:05:08.889,73,15:05:08.889,73,15:05:08.889,43,15:05:08.889,83,15:05:08.889,2,88,15:05:08.889,81,15:05:08.889,96,15:05:08.889,96,15:05:08.889,15:05:08.889,84,15:05:08.889,21
15:05:09.884,84,15:05:09.884,82,15:05:09.884,76,15:05:09.884,76,15:05:09.884,25,15:05:08.889,43,15:05:09.884,1,15:05:09.884,1,41,15:05:09.884,49,15:05:09.884,83,15:05:09.884,83,15:05:09.884,15:05:09.884,81,15:05:09.884,87
15:05:10.885,4,15:05:10.885,19,15:05:10.885,93,15:05:10.885,93,15:05:10.885,12,15:05:10.885,22,15:05:10.885,93,15:05:10.885,21,68,15:05:10.885,56,15:05:10.885,72,15:05:10.885,72,15:05:10.885,15:05:10.885,60,15:05:10.885,48
15:05:11.886,13,15:05:11.886,86,15:05:11.886,66,15:05:11.886,66,15:05:11.886,23,15:05:11.886,3,15:05:11.886,46,15:05:11.886,60,57,15:05:11.886,44,15:05:11.886,63,15:05:11.886,63,15:05:11.886,15:05:11.886,1,15:05:11.886,1
15:05:12.884,81,15:05:12.884,26,15:05:12.884,72,15:05:12.884,72,15:05:12.884,17,15:05:12.884,9,15:05:12.884,4,15:05:12.884,29,73,15:05:12.884,65,15:05:12.884,81,15:05:12.884,81,15:05:12.884,15:05:12.884,72,15:05:11.886,1
15:05:13.883,50,15:05:13.883,22,15:05:13.883,46,15:05:13.883,46,15:05:13.883,38,15:05:13.883,58,15:05:13.883,17,15:05:13.883,44,37,15:05:13.883,49,15:05:13.883,39,15:05:13.883,39,15:05:13.883,15:05:13.883,21,15:05:13.883,55
15:05:14.884,15,15:05:14.884,99,15:05:14.884,52,15:05:14.884,52,15:05:14.884,92,15:05:14.884,78,15:05:14.884,42,15:05:14.884,27,39,15:05:14.884,20,15:05:14.884,4,15:05:14.884,4,15:05:14.884,15:05:14.884,33,15:05:14.884,12
15:05:15.881,46,15:05:15.881,58,15:05:15.881,91,15:05:15.881,91,15:05:15.881,64,15:05:15.881,97,15:05:15.881,66,15:05:15.881,50,95,15:05:15.881,34,15:05:15.881,92,15:05:15.881,92,15:05:15.881,15:05:15.881,18,15:05:15.881,57
15:05:16.896,25,15:05:16.896,76,15:05:16.896,100,15:05:16.896,100,15:05:15.881,64,15:05:16.896,53,15:05:16.896,69,15:05:16.896,78,59,15:05:16.896,17,15:05:16.896,94,15:05:16.896,94,15:05:16.896,15:05:16.896,48,15:05:16.896,9
15:05:17.894,78,15:05:17.894,20,15:05:17.894,82,15:05:17.894,82,15:05:17.894,82,15:05:17.894,92,15:05:17.894,39,15:05:17.894,25,81,15:05:17.894,83,15:05:17.894,43,15:05:17.894,43,15:05:17.894,15:05:17.894,20,15:05:17.894,48
15:05:18.891,35,15:05:18.891,49,15:05:18.891,38,15:05:18.891,38,15:05:18.891,26,15:05:18.891,4,15:05:18.891,32,15:05:18.891,25,53,15:05:18.891,86,15:05:18.891,36,15:05:18.891,36,15:05:18.891,15:05:17.894,62,15:05:18.891,36
15:05:19.891,54,15:05:19.891,30,15:05:19.891,24,15:05:19.891,24,15:05:19.891,83,15:05:19.891,59,15:05:19.891,90,15:05:19.891,5,90,15:05:19.891,34,15:05:19.891,43,15:05:19.891,43,15:05:19.891,15:05:19.891,11,15:05:19.891,7
15:05:20.888,65,15:05:20.888,76,15:05:20.888,12,15:05:20.888,12,15:05:20.888,38,15:05:20.888,87,15:05:20.888,81,15:05:20.888,52,52,15:05:20.888,16,15:05:20.888,37,15:05:20.888,37,15:05:20.888,15:05:20.888,35,15:05:20.888,11
15:05:21.886,38,15:05:21.886,5,15:05:21.886,41,15:05:21.886,41,15:05:21.886,56,15:05:21.886,84,15:05:21.886,57,15:05:21.886,28,62,15:05:21.886,2,15:05:21.886,74,15:05:21.886,74,15:05:21.886,15:05:21.886,39,15:05:21.886,9
15:05:22.883,53,15:05:22.883,64,15:05:22.883,87,15:05:22.883,87,15:05:22.883,62,15:05:22.883,4,15:05:22.883,89,15:05:22.883,94,13,15:05:22.883,11,15:05:22.883,69,15:05:22.883,69,15:05:22.883,15:05:22.883,71,15:05:22.883,98
15:05:23.897,63,15:05:23.897,63,15:05:23.897,15,15:05:23.897,15,15:05:23.897,28,15:05:23.897,89,15:05:23.897,60,15:05:23.897,45,49,15:05:23.897,48,15:05:23.897,2,15:05:23.897,2,15:05:23.897,15:05:23.897,92,15:05:23.897,79
15:05:24.908,28,15:05:24.908,32,15:05:24.908,30,15:05:24.908,30,15:05:24.908,69,15:05:24.908,75,15:05:24.908,36,15:05:24.908,41,59,15:05:24.908,79,15:05:24.908,50,15:05:24.908,50,15:05:24.908,15:05:24.908,38,15:05:24.908,29
15:05:25.906,60,15:05:25.906,62,15:05:25.906,90,15:05:25.906,90,15:05:25.906,50,15:05:25.906,62,15:05:25.906,14,15:05:25.906,54,53,15:05:25.906,82,15:05:25.906,74,15:05:25.906,74,15:05:25.906,15:05:25.906,56,15:05:25.906,23
15:05:26.905,52,15:05:26.905,55,15:05:26.905,57,15:05:26.905,57,15:05:26.905,35,15:05:26.905,8,15:05:26.905,55,15:05:26.905,90,10,15:05:26.905,81,15:05:26.905,27,15:05:26.905,27,15:05:26.905,15:05:26.905,6,15:05:26.905,79
=======
engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,N2O_injector_temperature_time,N2O_injector_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_tank_pressure_time,N2O_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4,thrust5_time,thrust5,thrust6_time,thrust6
15:04:51.897,2,15:04:51.897,1,15:04:51.897,4,15:04:51.897,4,15:04:51.897,0,15:04:51.913,3,15:04:51.897,0,15:04:51.913,7,5,15:04:51.913,0,15:04:51.913,0,15:04:51.913,0,15:04:51.913,15:04:51.929,0,15:04:51.913,1
15:04:51.897,2,15:04:51.897,1,15:04:51.897,4,15:04:51.897,4,15:04:51.897,0,15:04:51.913,3,15:04:51.897,0,15:04:51.913,7,5,15:04:51.913,0,15:04:51.913,0,15:04:51.913,0,15:04:51.913,15:04:51.929,0,15:04:51.913,1
15:04:52.891,64,15:04:52.891,5,15:04:52.891,36,15:04:52.891,36,15:04:52.891,22,15:04:52.891,12,15:04:52.891,93,15:04:52.891,41,43,15:04:52.891,65,15:04:52.891,5,15:04:52.891,5,15:04:52.891,15:04:52.891,11,15:04:51.913,1
15:04:53.884,69,15:04:53.884,4,15:04:53.884,91,15:04:53.884,91,15:04:53.884,90,15:04:53.884,35,15:04:53.884,75,15:04:53.884,2,27,15:04:53.884,59,15:04:53.884,21,15:04:53.884,21,15:04:53.884,15:04:53.884,46,15:04:53.884,97
15:04:54.894,18,15:04:54.894,35,15:04:54.894,71,15:04:54.894,71,15:04:54.894,95,15:04:54.894,15,15:04:54.894,80,15:04:54.894,77,98,15:04:54.894,72,15:04:54.894,27,15:04:54.894,27,15:04:54.894,15:04:54.894,47,15:04:54.894,62
15:04:55.894,97,15:04:55.894,8,15:04:55.894,35,15:04:55.894,35,15:04:55.894,9,15:04:55.894,33,15:04:55.894,74,15:04:55.894,78,33,15:04:55.894,30,15:04:55.894,44,15:04:55.894,44,15:04:55.894,15:04:55.894,31,15:04:55.894,3
15:04:56.889,39,15:04:56.889,29,15:04:56.889,79,15:04:56.889,79,15:04:56.889,13,15:04:56.889,78,15:04:56.889,80,15:04:56.889,92,6,15:04:56.889,86,15:04:56.889,1,15:04:56.889,1,15:04:56.889,15:04:56.889,65,15:04:56.889,28
